Part & Section,Marks,Video Demo Requirements,Excellent (70%+),Very Good (60-69%),Good (50-59%),Satisfactory (40-49%),Fail (<30%),,,,,,,,,,,,,,,,,,,
PART 1: SETUP & DISCOVERY,10,,,,,,,,,,,,,,,,,,,,,,,,,
1.1 Architecture & Config,5,N/A,"Expert Setup: Maven project is flawlessly configured with JAX-RS (e.g., Jersey). Application subclass correctly uses @ApplicationPath(""/api/v1""). Report: analyses JAX-RS lifecycle (Request-scoped vs. Singleton) and provides strategies for synchronising in-memory data.","Strong Setup: Project builds correctly. Report: Accurately explains resource lifecycle and mentions thread-safety for maps/lists, though synchronization details are basic.",Functional: Base API entry point works. Report: Explains the default lifecycle correctly but provides limited detail on the impact of concurrency and race conditions.,"Basic: Entry point established but naming is inconsistent. Report: Answer is brief, lacking clear connection between the JAX-RS lifecycle and data integrity.",Non-Functional: Fails to bootstrap the server or activate JAX-RS. Report answer is missing or technically incorrect.,,,,,,,,,,,,,,,,,,,
1.2 Discovery Endpoint,5,N/A,"Rich Metadata: GET /api/v1 returns a complete JSON object including versioning, contact info, and resource maps. Report: Exceptional justification of HATEOAS, clearly articulating the benefits of self-documenting APIs over static docs.",Complete: Returns the required JSON metadata. Report: Correctly identifies HATEOAS benefits for client developers.,Sufficient: Discovery endpoint is functional but missing some metadata fields. Report: Basic understanding of hypermedia links in RESTful design.,Partial: Endpoint exists but format is not valid JSON or lacks resource maps. Report: Answer is superficial regarding HATEOAS.,Broken: Discovery endpoint is missing or returns an error. Report question is ignored.,,,,,,,,,,,,,,,,,,,
PART 2: ROOM MANAGEMENT,20,,,,,,,,,,,,,,,,,,,,,,,,,
2.1 Room Implementation,10,POST a room: Show 201 Created & Location header. GET by new ID.,"Clean CRUD: /rooms perfectly handles GET (list), POST (create), and GET {id} (detail). Report: Analysis of ID-only vs. full-object returns, considering bandwidth and payload overhead.",Standard CRUD: All room endpoints are functional. Report: Good understanding of the trade-offs between network bandwidth and client-side processing.,"Functional: Room management works, but JSON feedback on POST is minimal. Report: Identifies basic pros/cons of list return formats.","Incomplete: One endpoint (e.g., detail fetch) is missing or buggy. Report: Answer is brief and lacks technical depth.",Fail: Cannot create or retrieve rooms. Report answer demonstrates a lack of understanding.,,,,,,,,,,,,,,,,,,,
2.2 Deletion & Logic,10,"DELETE a room: Show success, then show 409 Conflict for rooms with sensors.","Robust Integrity: DELETE {id} works perfectly and successfully blocks deletion of rooms with active sensors. Report: Justification of idempotency, explaining the exact server state across multiple identical DELETE calls.",Correct Logic: Business constraint is enforced. Report: Correctly identifies if the operation is idempotent and provides a sound justification.,Functional: Deletion logic is present but fails to return a custom error body. Report: Basic explanation of idempotency provided.,"Partial: Room deletion works but the ""orphan"" check is missing or flawed. Report: Confused or incomplete answer regarding idempotency.",Broken: Room deletion is not implemented or allows data orphans. Report answer is missing.,,,,,,,,,,,,,,,,,,,
PART 3: SENSORS & FILTERING,20,,,,,,,,,,,,,,,,,,,,,,,,,
3.1 Sensor Integrity,10,POST sensor: Show error for non-existent roomId vs success for valid ID.,Solid Validation: POST /sensors validates that the roomId exists before registration. Report: Clearly explains the technical consequences (415 Unsupported Media Type) of content-type mismatches in JAX-RS.,Accurate: Foreign key validation is correct. Report: Accurately describes how JAX-RS handles @Consumes mismatches.,"Good: Validation logic is present. Report: Basic understanding of media type enforcement, though may miss the specific JAX-RS exception handling details.",Basic: Sensor registration works but roomId validation is missing. Report: Vague answer regarding @Consumes.,Fail: Sensor registration is broken or ignores JSON payload requirements. Report question is unanswered.,,,,,,,,,,,,,,,,,,,
3.2 Filtered Retrieval,10,GET /sensors?type=...: Change parameter and show dynamic list update.,"Dynamic Search: GET /sensors supports optional @QueryParam filtering by type flawlessly. Report: Insightful contrast between QueryParams and PathParams, justifying why query strings are superior for collection filtering.",Correct Search: Filtering logic works as intended. Report: Clearly explains the difference between path and query parameters for search.,Functional: Filtering works but the implementation is case-sensitive or slightly rigid. Report: Adequate explanation of why query parameters are used.,Minimal: Endpoint exists but filtering logic is incomplete or ignored. Report: Answer lacks comparative analysis between the two designs.,Broken: No search/filter capability. Report answer is missing or incorrect.,,,,,,,,,,,,,,,,,,,
PART 4: SUB-RESOURCES,20,,,,,,,,,,,,,,,,,,,,,,,,,
